YEAR,EVENT_ID,SITE_ID,STATION,POT_ID,SAMPLE_POT,all_Cnt_cc,all_Kg_cc,lrg_Cnt,lrg_Kg
1992,1992P04019,6,C,6,Sample,0,0,0,0
1992,1992P04019,6,C,7,Sample,1,0.025,1,0.025
1992,1992P04019,6,C,8,Sample,9,0.172,6,0.14083
1992,1992P04019,6,C,9,Sample,4,0.07,2,0.041502
1992,1992P04020,6,D,1,Sample,0,0,0,0
1992,1992P04020,6,D,10,Sample,6,0.2,3,0.146369
1992,1992P04020,6,D,11,Sample,2,0.035,1,0.0227
1992,1992P04020,6,D,2,Sample,9,0.224,4,0.132553
1992,1992P04020,6,D,3,Sample,18,0.439,9,0.299999
1992,1992P04020,6,D,4,Sample,1,0.017,0,0
1992,1992P04020,6,D,5,Sample,3,0.063,1,0.034157
1992,1992P04020,6,D,6,Sample,7,0.15,3,0.08709
1992,1992P04020,6,D,7,Sample,4,0.074,1,0.022106
1992,1992P04020,6,D,8,Sample,6,0.126,3,0.076383
1992,1992P04020,6,D,9,Sample,0,0,0,0
1992,1992P04031,7,A,1,Sample,12,0.352,10,0.316404
1992,1992P04031,7,A,10,Sample,16,0.382,12,0.329067
1992,1992P04031,7,A,11,Sample,5,0.049,4,0.041943
1992,1992P04031,7,A,2,Sample,2,0.049,2,0.049
1992,1992P04031,7,A,3,Sample,0,0,0,0
1992,1992P04031,7,A,4,Sample,2,0.033,1,0.023462
1992,1992P04031,7,A,5,Sample,1,0.046,1,0.046
1992,1992P04031,7,A,6,Sample,3,0.077,3,0.077
1992,1992P04031,7,A,7,Sample,0,0,0,0
1992,1992P04031,7,A,8,Sample,3,0.068,2,0.053477
1992,1992P04031,7,A,9,Sample,9,0.297,6,0.238879
1992,1992P04032,7,B,1,Sample,7,0.147,4,0.105614
1992,1992P04032,7,B,10,Sample,11,0.287,9,0.253843
1992,1992P04032,7,B,11,Sample,2,0.079,2,0.079
1992,1992P04032,7,B,2,Sample,4,0.061,1,0.028532
1992,1992P04032,7,B,3,Sample,11,0.337,11,0.337
1992,1992P04032,7,B,4,Sample,16,0.372,10,0.301996
1992,1992P04032,7,B,5,Sample,8,0.12,2,0.053058
1992,1992P04032,7,B,6,Sample,2,0.038,1,0.025953
1992,1992P04032,7,B,7,Sample,29,0.727,24,0.672693
1992,1992P04032,7,B,8,Sample,15,0.41,13,0.380344
1992,1992P04032,7,B,9,Sample,11,0.285,9,0.248356
1992,1992P04033,7,C,1,Sample,29,0.895,28,0.877295
1992,1992P04033,7,C,10,Sample,4,0.081,3,0.074142
1992,1992P04033,7,C,11,Sample,7,0.17,5,0.153132
1992,1992P04033,7,C,2,Sample,39,1.052,32,0.947416
1992,1992P04033,7,C,3,Sample,32,0.831,26,0.753365
1992,1992P04033,7,C,4,Sample,45,1.13,34,0.98988
1992,1992P04033,7,C,5,Sample,18,0.49,18,0.49
1992,1992P04033,7,C,6,Sample,6,0.177,6,0.177
1992,1992P04033,7,C,7,Sample,4,0.098,4,0.098
1992,1992P04033,7,C,8,Sample,17,0.482,14,0.426953
1992,1992P04033,7,C,9,Sample,34,0.854,26,0.74691
1992,1992P04034,7,D,1,Sample,23,0.525,14,0.426452
1992,1992P04034,7,D,10,Sample,23,0.965,22,0.953492
1992,1992P04034,7,D,11,Sample,35,1.355,32,1.3214
1992,1992P04034,7,D,2,Sample,4,0.06,1,0.037208
1992,1992P04034,7,D,3,Sample,10,0.322,9,0.312306
1992,1992P04034,7,D,4,Sample,6,0.193,6,0.193
1992,1992P04034,7,D,5,Sample,3,0.101,2,0.083198
1992,1992P04034,7,D,6,Sample,25,0.675,21,0.645077
1992,1992P04034,7,D,7,Sample,30,0.623,15,0.446677
1992,1992P04034,7,D,8,Sample,33,1.044,31,1.024125
1992,1992P04034,7,D,9,Sample,35,1.122,31,1.078211
1992,1992P04021,8,A,1,Sample,14,0.366,12,0.344534
1992,1992P04021,8,A,10,Sample,11,0.266,9,0.239373
1992,1992P04021,8,A,11,Sample,4,0.061,1,0.020173
1992,1992P04021,8,A,2,Sample,79,2.305,71,2.17964
1992,1992P04021,8,A,3,Sample,13,0.27,7,0.222599
1992,1992P04021,8,A,4,Sample,45,1.041,30,0.823249
1992,1992P04021,8,A,5,Sample,8,0.212,6,0.180137
1992,1992P04021,8,A,6,Sample,0,0,0,0
1992,1992P04021,8,A,7,Sample,5,0.131,4,0.114163
1992,1992P04021,8,A,8,Sample,0,0,0,0
1992,1992P04021,8,A,9,Sample,12,0.263,8,0.208403
1992,1992P04022,8,B,1,Sample,22,0.59,20,0.552723
1992,1992P04022,8,B,10,Sample,0,0,0,0
1992,1992P04022,8,B,11,Sample,0,0,0,0
1992,1992P04022,8,B,2,Sample,1,0.02,1,0.02
1992,1992P04022,8,B,3,Sample,10,0.249,8,0.233746
1992,1992P04022,8,B,4,Sample,3,0.084,3,0.084
1992,1992P04022,8,B,5,Sample,10,0.245,7,0.195481
1992,1992P04022,8,B,6,Sample,1,0.027,1,0.027
1992,1992P04022,8,B,7,Sample,3,0.138,3,0.138
1992,1992P04022,8,B,8,Sample,3,0.068,3,0.068
1992,1992P04022,8,B,9,Sample,2,0.056,2,0.056
1992,1992P04023,8,C,1,Sample,5,0.166,4,0.156873
1992,1992P04023,8,C,10,Sample,0,0,0,0
1992,1992P04023,8,C,11,Sample,0,0,0,0
1992,1992P04023,8,C,2,Sample,0,0,0,0
1992,1992P04023,8,C,3,Sample,2,0.039,0,0
1992,1992P04023,8,C,4,Sample,5,0.11,3,0.085448
1992,1992P04023,8,C,5,Sample,16,0.372,11,0.327778
1992,1992P04023,8,C,6,Sample,2,0.096,2,0.096
1992,1992P04023,8,C,7,Sample,3,0.06,1,0.033649
1992,1992P04023,8,C,8,Sample,2,0.061,2,0.061
1992,1992P04023,8,C,9,Sample,4,0.139,4,0.139
1992,1992P04024,8,D,1,Sample,37,0.945,26,0.814543
1992,1992P04024,8,D,10,Sample,4,0.084,3,0.075868
1992,1992P04024,8,D,11,Sample,21,0.515,15,0.437005
1992,1992P04024,8,D,2,Sample,14,0.279,7,0.199698
1992,1992P04024,8,D,3,Sample,4,0.105,2,0.078203
1992,1992P04024,8,D,4,Sample,23,0.689,15,0.58671
1992,1992P04024,8,D,5,Sample,12,0.31,6,0.252465
1992,1992P04024,8,D,6,Sample,3,0.049,1,0.034579
1992,1992P04024,8,D,7,Sample,7,0.154,3,0.101078
1992,1992P04024,8,D,8,Sample,3,0.053,1,0.023622
1992,1992P04024,8,D,9,Sample,1,0.01,0,0
1993,1993P04001,1,A,1,Sample,2,0.068,2,0.068
1993,1993P04001,1,A,10,Sample,9,0.34,9,0.34
1993,1993P04001,1,A,11,Sample,0,0,0,0
1993,1993P04001,1,A,2,Sample,2,0.056,2,0.056
1993,1993P04001,1,A,3,Sample,5,0.166,5,0.166
1993,1993P04001,1,A,4,Sample,0,0,0,0
1993,1993P04001,1,A,5,Sample,3,0.144,3,0.144
1993,1993P04001,1,A,6,Sample,14,0.498,14,0.498
1993,1993P04001,1,A,7,Sample,3,0.086,3,0.086
1993,1993P04001,1,A,8,Sample,0,0,0,0
1993,1993P04001,1,A,9,Sample,2,0.074,2,0.074
1993,1993P04002,1,B,1,Sample,3,0.108,3,0.108
1993,1993P04002,1,B,10,Sample,0,0,0,0
1993,1993P04002,1,B,11,Sample,2,0.07,2,0.07
1993,1993P04002,1,B,2,Sample,3,0.12,3,0.12
1993,1993P04002,1,B,3,Sample,6,0.28,6,0.28
1993,1993P04002,1,B,4,Sample,15,0.56,15,0.56
1993,1993P04002,1,B,5,Sample,15,0.58,13,0.555817
1993,1993P04002,1,B,6,Sample,7,0.262,7,0.262
1993,1993P04002,1,B,7,Sample,13,0.596,13,0.596
1993,1993P04002,1,B,8,Sample,6,0.262,6,0.262
1993,1993P04002,1,B,9,Sample,5,0.186,5,0.186
1993,1993P04003,1,C,1,Sample,0,0,0,0
1993,1993P04003,1,C,10,Sample,17,0.484,10,0.423835
1993,1993P04003,1,C,11,Sample,5,0.064,1,0.033638
1993,1993P04003,1,C,2,Sample,0,0,0,0
1993,1993P04003,1,C,3,Sample,10,0.314,7,0.293853
1993,1993P04003,1,C,4,Sample,14,0.57,13,0.565482
1993,1993P04003,1,C,5,Sample,4,0.084,2,0.067767
1993,1993P04003,1,C,6,Sample,5,0.202,5,0.202
1993,1993P04003,1,C,7,Sample,9,0.41,9,0.41
1993,1993P04003,1,C,8,Sample,11,0.278,7,0.245294
1993,1993P04003,1,C,9,Sample,2,0.03,1,0.021203
1993,1993P04004,1,D,1,Sample,40,1.13,26,1.010875
1993,1993P04004,1,D,10,Sample,17,0.666,17,0.666
1993,1993P04004,1,D,11,Sample,6,0.232,5,0.225127
1993,1993P04004,1,D,2,Sample,16,0.56,15,0.553117
1993,1993P04004,1,D,4,Sample,12,0.44,11,0.432646
1993,1993P04004,1,D,5,Sample,8,0.276,5,0.237499
1993,1993P04004,1,D,6,Sample,16,0.6,14,0.573585
1993,1993P04004,1,D,7,Sample,20,0.796,20,0.796
1993,1993P04004,1,D,8,Sample,17,0.67,16,0.649522
1993,1993P04004,1,D,9,Sample,35,1.192,28,1.124961
1993,1993P04005,2,A,1,Sample,0,0,0,0
1993,1993P04005,2,A,10,Sample,11,0.328,6,0.260384
1993,1993P04005,2,A,11,Sample,8,0.226,5,0.171434
1993,1993P04005,2,A,2,Sample,0,0,0,0
1993,1993P04005,2,A,3,Sample,1,0.02,0,0
1993,1993P04005,2,A,4,Sample,6,0.162,4,0.139022
